# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
altogether	adv.	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
altogether	adv.	with everything included or counted
altogether	adv.	with everything considered (and neglecting details)
altoona	n.	a town in central Pennsylvania
altruism	n.	the quality of unselfish concern for the welfare of others
altruist	n.	someone who makes charitable donations intended to increase human well-being
altruistic	adj.	showing unselfish concern for the welfare of others
altruistically	adv.	in an altruistic manner
alum	n.	a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
alum	n.	a white crystalline double sulfate of aluminum: the potassium double sulfate of aluminum
alum	n.	a person who has received a degree from a school (high school or college or university)
alum	n.	a double sulphate of aluminum and potassium that is used as an astringent (among other things)
alumina	n.	any of various forms of aluminum oxide occurring naturally as corundum
aluminum	n.	a silvery ductile metallic element found primarily in bauxite
alumna	n.	a person who has received a degree from a school (high school or college or university)
alumnae	n.	a person who has received a degree from a school (high school or college or university)
alumni	n.	a person who has received a degree from a school (high school or college or university)
alumnus	n.	a person who has received a degree from a school (high school or college or university)
alveolar	n.	a consonant articulated with the tip of the tongue near the gum ridge
alveolar	adj.	pertaining to the tiny air sacs of the lungs
alveolar	adj.	pertaining to the sockets of the teeth or that part of the upper jaw
always	adv.	at all times; all the time and on every occasion
always	adv.	without variation or change, in every case
always	adv.	without interruption
always	adv.	at any time or in any event
always	adv.	forever; throughout all time
am	n.	a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms
am	n.	a master's degree in arts and sciences
am	n.	modulation of the amplitude of the (radio) carrier wave
am	v.	have the quality of being; (copula, used with an adjective or a predicate noun)
am	v.	be identical to; be someone or something
am	v.	occupy a certain position or area; be somewhere
am	v.	have an existence, be extant
am	v.	happen, occur, take place
am	v.	be identical or equivalent to
am	v.	form or compose
am	v.	work in a specific place, with a specific subject, or in a specific function
am	v.	represent, as of a character on stage
am	v.	spend or use time
am	v.	have life, be alive
am	v.	to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
am	v.	be priced at
amalgam	n.	an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
amalgam	n.	a combination or blend of diverse things
amalgamate	v.	to bring or combine together or with something else
amalgamate	adj.	joined together into a whole
amalgamation	n.	the combination of two or more commercial companies
amanuenses	n.	someone skilled in the transcription of speech (especially dictation)
amanuensis	n.	someone skilled in the transcription of speech (especially dictation)
amaranth	n.	seed of amaranth plants used as a native cereal in Central and South America
amaranth	n.	any of various plants of the genus Amaranthus having dense plumes of green or red flowers; often cultivated for food
amaranths	n.	seed of amaranth plants used as a native cereal in Central and South America
amaranths	n.	any of various plants of the genus Amaranthus having dense plumes of green or red flowers; often cultivated for food
amaretto	n.	an Italian almond liqueur
amarillo	n.	a city in the northern panhandle of Texas
amaryllis	n.	bulbous plant having showy white to reddish flowers
amass	v.	collect or gather
amass	v.	get or gather together
amaterasu	n.	central deity of Shinto; goddess personifying the sun and ancestress of the rulers of Japan
amateur	n.	someone who pursues a study or sport as a pastime
amateur	n.	an athlete who does not play for pay
amateur	adj.	engaged in as a pastime
amateur	adj.	lacking professional skill or expertise
amateurish	adj.	lacking professional skill or expertise
amateurishness	n.	something that demonstrates a lack of professional competency
amateurism	n.	the conviction that people should participate in sports as a hobby (for the fun of it) rather than for money
amati	n.	Italian violin maker in Cremona; taught the craft to Guarneri and Stradivari (1596-1684)
amati	n.	a violin made by Nicolo Amati or a member of his family
amatory	adj.	expressive of or exciting sexual love or romance
amaze	v.	affect with wonder
amaze	v.	be a mystery or bewildering to
amazement	n.	the feeling that accompanies something extremely surprising
amazing	v.	affect with wonder
amazing	v.	be a mystery or bewildering to
amazing	adj.	surprising greatly
amazing	adj.	inspiring awe or admiration or wonder; ; ; ; - Melville
amazon	n.	a large strong and aggressive woman
amazon	n.	(Greek mythology) one of a nation of women warriors of Scythia (who burned off the right breast in order to use a bow and arrow more effectively)
amazon	n.	a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles)
amazon	n.	mainly green tropical American parrots
ambassador	n.	a diplomat of the highest rank; accredited as representative from one country to another
ambassador	n.	an informal representative
ambassadorial	adj.	of or relating to or characteristic of ambassadors
ambassadorship	n.	the post of ambassador
ambassadress	n.	a woman ambassador
amber	n.	a deep yellow color
amber	n.	a hard yellowish to brownish translucent fossil resin; used for jewelry
amber	adj.	of a medium to dark brownish yellow color
ambergris	n.	waxy substance secreted by the sperm whale and found floating at sea or washed ashore; used in perfume
ambiance	n.	a particular environment or surrounding influence
ambiance	n.	the atmosphere of an environment
ambidexterity	n.	the property of being equally skillful with each hand
ambidextrous	adj.	equally skillful with each hand
ambidextrous	adj.	marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another; - Israel Zangwill; ; - W.M.Thackeray
ambient	adj.	completely enveloping
ambiguity	n.	an expression whose meaning cannot be determined from its context
ambiguity	n.	unclearness by virtue of having more than one meaning
ambiguous	adj.	open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
ambiguous	adj.	having more than one possible meaning
ambiguous	adj.	having no intrinsic or objective meaning; not organized in conventional patterns
ambit	n.	an area in which something acts or operates or has power or control:
ambition	n.	a cherished desire
ambition	n.	a strong drive for success
ambition	v.	have as one's ambition
ambitious	adj.	having a strong desire for success or achievement
ambitious	adj.	requiring full use of your abilities or resources
ambitiousness	n.	a strong drive for success
ambivalence	n.	mixed feelings or emotions
ambivalent	adj.	uncertain or unable to decide about what course to follow
amble	n.	a leisurely walk (usually in some public place)
